Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	ElevAngle
63	2023-07-10 20:30:00	9	2023-07-11 10:58:00	9	Midday	125.365	25.294	-6.00
64	2023-07-11 10:58:00	9	2023-07-11 20:19:00	9	Midnight	126.757	27.673	-6.00
65	2023-07-11 20:19:00	9	2023-07-12 11:00:00	9	Midday	126.523	28.125	-6.00
66	2023-07-12 11:00:00	9	2023-07-12 20:26:00	9	Midnight	125.664	26.806	-6.00
67	2023-07-12 20:26:00	9	2023-07-13 11:23:00	9	Midday	122.805	31.357	-6.00
68	2023-07-13 11:23:00	9	2023-07-13 20:31:00	9	Midnight	122.195	30.536	-6.00
69	2023-07-13 20:31:00	9	2023-07-14 11:17:00	9	Midday	122.959	29.449	-6.00
70	2023-07-14 11:17:00	9	2023-07-14 20:20:00	9	Midnight	124.348	31.646	-6.00
71	2023-07-14 20:20:00	9	2023-07-15 11:07:00	9	Midday	125.611	29.825	-6.00
72	2023-07-15 11:07:00	9	2023-07-15 20:22:00	9	Midnight	125.374	29.547	-6.00
73	2023-07-15 20:22:00	9	2023-07-16 11:00:00	9	Midday	126.261	28.213	-6.00
74	2023-07-16 11:00:00	9	2023-07-16 20:23:00	9	Midnight	126.148	28.122	-6.00
75	2023-07-16 20:23:00	9	2023-07-17 11:00:00	9	Midday	126.160	28.201	-6.00
76	2023-07-17 11:00:00	9	2023-07-17 20:32:00	9	Midnight	125.045	26.407	-6.00
77	2023-07-17 20:32:00	9	2023-07-18 11:31:00	9	Midday	121.181	32.705	-6.00
78	2023-07-18 11:31:00	9	2023-07-18 20:33:00	9	Midnight	121.065	32.645	-6.00
79	2023-07-18 20:33:00	9	2023-07-19 11:23:00	9	Midday	122.074	31.229	-6.00
80	2023-07-19 11:23:00	9	2023-07-19 20:31:00	9	Midnight	122.333	31.740	-6.00
81	2023-07-19 20:31:00	9	2023-07-20 11:37:00	9	Midday	120.591	34.427	-6.00
82	2023-07-20 11:37:00	9	2023-07-20 20:32:00	9	Midnight	120.473	34.380	-6.00
83	2023-07-20 20:32:00	9	2023-07-21 11:41:00	9	Midday	119.980	35.199	-6.00
84	2023-07-21 11:41:00	9	2023-07-21 20:54:00	9	Midnight	117.236	31.239	-6.00
85	2023-07-21 20:54:00	9	2023-07-22 10:45:00	9	Midday	124.241	18.273	-6.00
86	2023-07-22 10:45:00	9	2023-07-22 20:38:00	9	Midnight	126.246	22.535	-6.00
87	2023-07-22 20:38:00	9	2023-07-23 10:50:00	9	Midday	125.626	23.869	-6.00
88	2023-07-23 10:50:00	9	2023-07-23 20:26:00	9	Midnight	127.129	26.822	-6.00
89	2023-07-23 20:26:00	9	2023-07-24 10:52:00	9	Midday	126.883	27.395	-6.00
90	2023-07-24 10:52:00	9	2023-07-24 20:29:00	9	Midnight	126.510	26.841	-6.00
91	2023-07-24 20:29:00	9	2023-07-25 10:51:00	9	Midday	126.637	26.733	-6.00
92	2023-07-25 10:51:00	9	2023-07-25 20:27:00	9	Midnight	126.888	27.328	-6.00
93	2023-07-25 20:27:00	9	2023-07-26 10:53:00	9	Midday	126.639	27.919	-6.00
94	2023-07-26 10:53:00	9	2023-07-26 20:26:00	9	Midnight	126.764	28.283	-6.00
95	2023-07-26 20:26:00	9	2023-07-27 10:51:00	9	Midday	127.014	27.965	-6.00
96	2023-07-27 10:51:00	9	2023-07-27 20:28:00	9	Midnight	126.762	27.638	-6.00
97	2023-07-27 20:28:00	9	2023-07-28 10:48:00	9	Midday	127.136	27.073	-6.00
98	2023-07-28 10:48:00	9	2023-07-28 20:29:00	9	Midnight	127.008	26.971	-6.00
99	2023-07-28 20:29:00	9	2023-07-29 10:49:00	9	Midday	126.880	27.363	-6.00
100	2023-07-29 10:49:00	9	2023-07-29 20:24:00	9	Midnight	127.501	28.689	-6.00
101	2023-07-29 20:24:00	9	2023-07-30 10:51:00	9	Midday	127.247	29.317	-6.00
102	2023-07-30 10:51:00	9	2023-07-30 20:28:00	9	Midnight	126.742	28.527	-6.00
103	2023-07-30 20:28:00	9	2023-07-31 10:51:00	9	Midday	126.736	28.696	-6.00
104	2023-07-31 10:51:00	9	2023-07-31 20:27:00	9	Midnight	126.855	29.082	-6.00
105	2023-07-31 20:27:00	9	2023-08-01 10:48:00	9	Midday	127.223	28.539	-6.00
106	2023-08-01 10:48:00	9	2023-08-01 20:28:00	9	Midnight	127.091	28.445	-6.00
107	2023-08-01 20:28:00	9	2023-08-02 10:47:00	9	Midday	127.208	28.383	-6.00
108	2023-08-02 10:47:00	9	2023-08-02 20:28:00	9	Midnight	127.199	28.534	-6.00
109	2023-08-02 20:28:00	9	2023-08-03 10:48:00	9	Midday	127.065	28.973	-6.00
110	2023-08-03 10:48:00	9	2023-08-03 20:29:00	9	Midnight	126.930	28.881	-6.00
111	2023-08-03 20:29:00	9	2023-08-04 10:46:00	9	Midday	127.169	28.578	-6.00
112	2023-08-04 10:46:00	9	2023-08-04 20:28:00	9	Midnight	127.283	28.987	-6.00
113	2023-08-04 20:28:00	9	2023-08-05 10:49:00	9	Midday	126.896	29.946	-6.00
114	2023-08-05 10:49:00	9	2023-08-05 20:31:00	9	Midnight	126.508	29.357	-6.00
115	2023-08-05 20:31:00	9	2023-08-06 10:43:00	9	Midday	127.245	28.017	-6.00
116	2023-08-06 10:43:00	9	2023-08-06 20:29:00	9	Midnight	127.481	28.704	-6.00
117	2023-08-06 20:29:00	9	2023-08-07 10:44:00	9	Midday	127.342	29.189	-6.00
118	2023-08-07 10:44:00	9	2023-08-07 20:37:00	9	Midnight	126.327	27.201	-6.00
119	2023-08-07 20:37:00	9	2023-08-08 10:40:00	9	Midday	126.811	26.303	-6.00
120	2023-08-08 10:40:00	9	2023-08-08 20:37:00	9	Midnight	126.795	26.459	-6.00
121	2023-08-08 20:37:00	9	2023-08-09 10:32:00	9	Midday	127.778	24.326	-6.00
122	2023-08-09 10:32:00	9	2023-08-09 20:48:00	9	Midnight	126.385	20.978	-6.00
123	2023-08-09 20:48:00	9	2023-08-10 10:39:00	9	Midday	125.492	23.468	-6.00
