Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	ElevAngle
63	2023-07-10 20:29:48	9	2023-07-11 10:52:48	9	Midday	126.040	24.216	-6.00
64	2023-07-11 10:52:48	9	2023-07-11 20:28:48	9	Midnight	126.182	24.533	-6.00
65	2023-07-11 20:28:48	9	2023-07-12 10:57:48	9	Midday	125.573	25.653	-6.00
66	2023-07-12 10:57:48	9	2023-07-12 20:31:48	9	Midnight	125.214	25.114	-6.00
67	2023-07-12 20:31:48	9	2023-07-13 10:39:48	9	Midday	127.480	21.085	-6.00
68	2023-07-13 10:39:48	9	2023-07-13 20:39:48	9	Midnight	126.495	19.252	-6.00
69	2023-07-13 20:39:48	9	2023-07-14 10:48:48	9	Midday	125.384	21.468	-6.00
70	2023-07-14 10:48:48	9	2023-07-14 20:38:48	9	Midnight	125.523	21.806	-6.00
71	2023-07-14 20:38:48	9	2023-07-15 10:50:48	9	Midday	125.286	22.329	-6.00
72	2023-07-15 10:50:48	9	2023-07-15 20:26:48	9	Midnight	126.799	25.163	-6.00
73	2023-07-15 20:26:48	9	2023-07-16 10:58:48	9	Midday	125.811	26.962	-6.00
74	2023-07-16 10:58:48	9	2023-07-16 20:21:48	9	Midnight	126.448	28.122	-6.00
75	2023-07-16 20:21:48	9	2023-07-17 10:52:48	9	Midday	127.209	26.938	-6.00
76	2023-07-17 10:52:48	9	2023-07-17 20:32:48	9	Midnight	125.845	24.628	-6.00
77	2023-07-17 20:32:48	9	2023-07-18 10:50:48	9	Midday	126.105	24.247	-6.00
78	2023-07-18 10:50:48	9	2023-07-18 20:29:48	9	Midnight	126.490	25.046	-6.00
79	2023-07-18 20:29:48	9	2023-07-19 11:01:48	9	Midday	125.124	27.558	-6.00
80	2023-07-19 11:01:48	9	2023-07-19 20:37:48	9	Midnight	124.133	25.925	-6.00
81	2023-07-19 20:37:48	9	2023-07-20 10:53:48	9	Midday	125.141	24.178	-6.00
82	2023-07-20 10:53:48	9	2023-07-20 20:25:48	9	Midnight	126.648	27.026	-6.00
83	2023-07-20 20:25:48	9	2023-07-21 10:51:48	9	Midday	126.905	26.681	-6.00
84	2023-07-21 10:51:48	9	2023-07-21 20:48:48	9	Midnight	124.036	21.326	-6.00
85	2023-07-21 20:48:48	9	2023-07-22 10:50:48	9	Midday	124.166	21.161	-6.00
86	2023-07-22 10:50:48	9	2023-07-22 20:28:48	9	Midnight	126.671	26.127	-6.00
87	2023-07-22 20:28:48	9	2023-07-23 10:38:48	9	Midday	128.176	23.378	-6.00
88	2023-07-23 10:38:48	9	2023-07-23 20:39:48	9	Midnight	126.804	20.702	-6.00
89	2023-07-23 20:39:48	9	2023-07-24 10:41:48	9	Midday	126.433	21.584	-6.00
90	2023-07-24 10:41:48	9	2023-07-24 20:41:48	9	Midnight	126.185	21.178	-6.00
91	2023-07-24 20:41:48	9	2023-07-25 10:56:48	9	Midday	124.312	25.073	-6.00
92	2023-07-25 10:56:48	9	2023-07-25 20:41:48	9	Midnight	124.313	25.201	-6.00
93	2023-07-25 20:41:48	9	2023-07-26 10:46:48	9	Midday	125.564	22.822	-6.00
