Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	ElevAngle
63	2023-07-10 20:21:01	9	2023-07-11 11:13:01	9	Midday	124.611	30.099	-6.00
64	2023-07-11 11:13:01	9	2023-07-11 20:16:01	9	Midnight	125.253	31.129	-6.00
65	2023-07-11 20:16:01	9	2023-07-12 10:59:01	9	Midday	127.019	28.522	-6.00
66	2023-07-12 10:59:01	9	2023-07-12 20:25:01	9	Midnight	125.910	26.806	-6.00
67	2023-07-12 20:25:01	9	2023-07-13 10:56:01	9	Midday	126.300	26.232	-6.00
68	2023-07-13 10:56:01	9	2023-07-13 20:24:01	9	Midnight	126.440	26.548	-6.00
69	2023-07-13 20:24:01	9	2023-07-14 11:01:01	9	Midday	125.830	27.646	-6.00
70	2023-07-14 11:01:01	9	2023-07-14 20:27:02	9	Midnight	125.467	27.132	-6.00
71	2023-07-14 20:27:02	9	2023-07-15 11:03:02	9	Midday	125.228	27.617	-6.00
72	2023-07-15 11:03:02	9	2023-07-15 20:22:02	9	Midnight	125.866	28.749	-6.00
73	2023-07-15 20:22:02	9	2023-07-16 11:01:02	9	Midday	126.128	28.418	-6.00
74	2023-07-16 11:01:02	9	2023-07-16 20:21:02	9	Midnight	126.265	28.736	-6.00
75	2023-07-16 20:21:02	9	2023-07-17 10:45:02	9	Midday	128.276	25.412	-6.00
76	2023-07-17 10:45:02	9	2023-07-17 20:28:02	9	Midnight	127.412	23.941	-6.00
77	2023-07-17 20:28:02	9	2023-07-18 11:08:03	9	Midday	124.545	29.025	-6.00
78	2023-07-18 11:08:03	9	2023-07-18 20:32:03	9	Midnight	124.053	28.316	-6.00
79	2023-07-18 20:32:03	9	2023-07-19 10:55:03	9	Midday	125.687	25.582	-6.00
80	2023-07-19 10:55:03	9	2023-07-19 20:28:03	9	Midnight	126.195	26.591	-6.00
81	2023-07-19 20:28:03	9	2023-07-20 10:58:03	9	Midday	125.828	27.342	-6.00
82	2023-07-20 10:58:03	9	2023-07-20 20:28:03	9	Midnight	125.835	27.464	-6.00
83	2023-07-20 20:28:03	9	2023-07-21 12:09:03	9	Midday	116.967	40.285	-6.00
84	2023-07-21 12:09:03	9	2023-07-21 20:49:03	9	Midnight	114.349	37.195	-6.00
85	2023-07-21 20:49:03	9	2023-07-22 10:52:04	9	Midday	123.977	21.420	-6.00
86	2023-07-22 10:52:04	9	2023-07-22 20:40:04	9	Midnight	125.105	23.766	-6.00
87	2023-07-22 20:40:04	9	2023-07-23 10:51:04	9	Midday	125.234	23.625	-6.00
88	2023-07-23 10:51:04	9	2023-07-23 20:30:04	9	Midnight	126.488	26.132	-6.00
89	2023-07-23 20:30:04	9	2023-07-24 10:55:04	9	Midday	125.991	27.169	-6.00
90	2023-07-24 10:55:04	9	2023-07-24 20:33:04	9	Midnight	125.618	26.610	-6.00
91	2023-07-24 20:33:04	9	2023-07-25 10:53:04	9	Midday	125.870	26.266	-6.00
92	2023-07-25 10:53:04	9	2023-07-25 20:32:04	9	Midnight	125.997	26.631	-6.00
93	2023-07-25 20:32:04	9	2023-07-26 10:57:05	9	Midday	125.495	27.694	-6.00
94	2023-07-26 10:57:05	9	2023-07-26 20:31:05	9	Midnight	125.618	28.056	-6.00
95	2023-07-26 20:31:05	9	2023-07-27 12:35:05	9	Midday	113.368	45.087	-6.00
96	2023-07-27 12:35:05	9	2023-07-27 20:32:05	9	Midnight	113.241	45.116	-6.00
97	2023-07-27 20:32:05	9	2023-07-28 10:50:05	9	Midday	126.365	26.593	-6.00
98	2023-07-28 10:50:05	9	2023-07-28 20:34:05	9	Midnight	126.112	26.243	-6.00
99	2023-07-28 20:34:05	9	2023-07-29 12:37:05	9	Midday	112.734	45.600	-6.00
100	2023-07-29 12:37:05	9	2023-07-29 20:27:05	9	Midnight	113.605	46.622	-6.00
101	2023-07-29 20:27:05	9	2023-07-30 10:54:06	9	Midday	126.474	29.321	-6.00
102	2023-07-30 10:54:06	9	2023-07-30 20:29:06	9	Midnight	126.217	28.999	-6.00
103	2023-07-30 20:29:06	9	2023-07-31 12:10:06	9	Midday	116.711	43.312	-6.00
104	2023-07-31 12:10:06	9	2023-07-31 20:24:06	9	Midnight	117.330	44.190	-6.00
105	2023-07-31 20:24:06	9	2023-08-01 12:37:06	9	Midday	113.948	47.838	-6.00
106	2023-08-01 12:37:06	9	2023-08-01 20:32:06	9	Midnight	112.940	47.046	-6.00
107	2023-08-01 20:32:06	9	2023-08-02 11:49:06	9	Midday	118.932	40.295	-6.00
108	2023-08-02 11:49:06	9	2023-08-02 20:34:06	9	Midnight	118.674	40.131	-6.00
109	2023-08-02 20:34:06	9	2023-08-03 12:08:07	9	Midday	116.287	43.384	-6.00
110	2023-08-03 12:08:07	9	2023-08-03 20:30:07	9	Midnight	116.775	44.154	-6.00
111	2023-08-03 20:30:07	9	2023-08-04 12:18:07	9	Midday	115.514	45.778	-6.00
112	2023-08-04 12:18:07	9	2023-08-04 20:34:07	9	Midnight	115.003	45.406	-6.00
113	2023-08-04 20:34:07	9	2023-08-05 10:58:07	9	Midday	124.991	30.683	-6.00
114	2023-08-05 10:58:07	9	2023-08-05 20:35:07	9	Midnight	124.854	30.605	-6.00
115	2023-08-05 20:35:07	9	2023-08-06 12:37:07	9	Midday	112.465	48.401	-6.00
116	2023-08-06 12:37:07	9	2023-08-06 20:37:07	9	Midnight	112.201	48.340	-6.00
117	2023-08-06 20:37:07	9	2023-08-07 10:55:08	9	Midday	124.935	29.970	-6.00
118	2023-08-07 10:55:08	9	2023-08-07 20:38:08	9	Midnight	124.793	29.877	-6.00
119	2023-08-07 20:38:08	9	2023-08-08 11:15:08	9	Midday	122.277	34.934	-6.00
120	2023-08-08 11:15:08	9	2023-08-08 20:48:08	9	Midnight	121.011	32.792	-6.00
121	2023-08-08 20:48:08	9	2023-08-09 10:26:08	9	Midday	127.120	18.842	-6.00
122	2023-08-09 10:26:08	9	2023-08-09 20:58:08	9	Midnight	125.852	15.412	-6.00
123	2023-08-09 20:58:08	9	2023-08-10 10:40:08	9	Midday	124.084	20.537	-6.00
124	2023-08-10 10:40:08	9	2023-08-10 20:40:08	9	Midnight	126.315	26.379	-6.00
125	2023-08-10 20:40:08	9	2023-08-11 10:35:09	9	Midday	126.919	25.117	-6.00
126	2023-08-11 10:35:09	9	2023-08-11 20:46:09	9	Midnight	126.147	23.358	-6.00
127	2023-08-11 20:46:09	9	2023-08-12 10:37:09	9	Midday	125.877	24.259	-6.00
128	2023-08-12 10:37:09	9	2023-08-12 20:44:09	9	Midnight	126.106	25.053	-6.00
129	2023-08-12 20:44:09	9	2023-08-13 10:37:09	9	Midday	126.084	25.322	-6.00
130	2023-08-13 10:37:09	9	2023-08-13 20:41:09	9	Midnight	126.437	26.435	-6.00
131	2023-08-13 20:41:09	9	2023-08-14 11:02:09	9	Midday	123.289	33.871	-6.00
132	2023-08-14 11:02:09	9	2023-08-14 20:42:09	9	Midnight	123.140	33.813	-6.00
133	2023-08-14 20:42:09	9	2023-08-15 10:58:10	9	Midday	123.614	33.059	-6.00
134	2023-08-15 10:58:10	9	2023-08-15 20:47:10	9	Midnight	122.963	31.874	-6.00
135	2023-08-15 20:47:10	9	2023-08-16 10:43:10	9	Midday	124.813	27.665	-6.00
136	2023-08-16 10:43:10	9	2023-08-16 20:47:10	9	Midnight	124.788	27.845	-6.00
137	2023-08-16 20:47:10	9	2023-08-17 10:53:10	9	Midday	123.511	31.263	-6.00
138	2023-08-17 10:53:10	9	2023-08-17 20:48:10	9	Midnight	123.360	31.166	-6.00
139	2023-08-17 20:48:10	9	2023-08-18 10:37:10	9	Midday	125.333	26.329	-6.00
140	2023-08-18 10:37:10	9	2023-08-18 20:46:10	9	Midnight	125.555	27.196	-6.00
